epsilon,gamma,case,horizon,true_value,model_value,absolute_value_gap,finite_horizon_bound,gap_to_bound_ratio,reward_lipschitz,empirical_dynamics_lipschitz,max_rollout_state_error
0.002,0.98,4,40,-1.3826868441549587,-1.2069888837932563,0.17569796036170238,1.3454752576141762,0.13058431165300916,1.3325284407011107,1.0065717988578462,0.08373255138294225
0.002,0.99,4,40,-1.6003188585819024,-1.378235839269068,0.22208301931283447,1.7392043389449623,0.1276923098337914,1.3325284407011107,1.0065717988578462,0.08373255138294225
0.002,0.8,5,40,-0.965710925718111,-0.9881754248288006,0.022464499110689595,0.093528885027162,0.24018782116525406,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.9,5,40,-2.0278661130108366,-2.1250278715107616,0.09716175849992492,0.4308971726165373,0.22548711078777678,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.95,5,40,-3.630987957223706,-3.892628719027725,0.2616407618040193,1.2813249497784873,0.20419547894486187,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.97,5,40,-4.864442645247102,-5.27464034332232,0.41019769807521733,2.1071798988490436,0.19466667193402432,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.98,5,40,-5.71231498772687,-6.231465544853919,0.5191505571270492,2.7327794397710576,0.1899716272640509,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.99,5,40,-6.77493826155914,-7.436383736484193,0.6614454749250527,3.567650157000309,0.18540087895871438,2.097501736644196,1.0262842232802896,0.06352610121197788
0.002,0.8,6,40,-0.8017827542340737,-0.8246360564322316,0.022853302198157843,0.09000615985890431,0.2539082017717809,2.1044181973542013,1.016659607207284,0.055712288203815775
0.002,0.9,6,40,-1.8194463456401142,-1.9192839589828115,0.09983761334269725,0.39788164900810746,0.25092289024031594,2.1044181973542013,1.016659607207284,0.055712288203815775
0.002,0.95,6,40,-3.4672188485104583,-3.733698893478632,0.2664800449681737,1.149578789887446,0.2318066819885085,2.1044181973542013,1.016659607207284,0.055712288203815775
